usage_date_utc,model,workspace,api_key,usage_type,context_window,token_type,cost_usd,cost_type,inference_geo,speed
2026-02-25,Claude Haiku 4.5,Claude Code,claude_code_key_zhang.hange_lfhr,message,≤ 200k,input_no_cache,0.06,token,not_available,
2026-02-25,Claude Haiku 4.5,Claude Code,claude_code_key_zhang.hange_lfhr,message,≤ 200k,input_cache_read,0.07,token,not_available,
2026-02-25,Claude Haiku 4.5,Claude Code,claude_code_key_zhang.hange_lfhr,message,≤ 200k,input_cache_write_5m,0.17,token,not_available,
2026-02-25,Claude Haiku 4.5,Claude Code,claude_code_key_zhang.hange_lfhr,message,≤ 200k,output,0.12,token,not_available,
2026-02-25,Claude Sonnet 4.6,Claude Code,claude_code_key_zhang.hange_lfhr,message,≤ 200k,input_no_cache,0.01,token,global,
2026-02-25,Claude Sonnet 4.6,Claude Code,claude_code_key_zhang.hange_lfhr,message,≤ 200k,input_cache_read,2.38,token,global,
2026-02-25,Claude Sonnet 4.6,Claude Code,claude_code_key_zhang.hange_lfhr,message,≤ 200k,input_cache_write_5m,2.24,token,global,
2026-02-25,Claude Sonnet 4.6,Claude Code,claude_code_key_zhang.hange_lfhr,message,≤ 200k,output,2.58,token,global,
2026-02-26,Claude Haiku 4.5,Claude Code,claude_code_key_zhang.hange_lfhr,message,≤ 200k,input_no_cache,0.00,token,not_available,
2026-02-26,Claude Haiku 4.5,Claude Code,claude_code_key_zhang.hange_lfhr,message,≤ 200k,output,0.00,token,not_available,
2026-02-26,Claude Sonnet 4.6,Claude Code,claude_code_key_zhang.hange_lfhr,message,≤ 200k,input_no_cache,0.00,token,global,
2026-02-26,Claude Sonnet 4.6,Claude Code,claude_code_key_zhang.hange_lfhr,message,≤ 200k,input_cache_read,0.08,token,global,
2026-02-26,Claude Sonnet 4.6,Claude Code,claude_code_key_zhang.hange_lfhr,message,≤ 200k,input_cache_write_5m,0.07,token,global,
2026-02-26,Claude Sonnet 4.6,Claude Code,claude_code_key_zhang.hange_lfhr,message,≤ 200k,output,0.08,token,global,
2026-02-28,Claude Haiku 4.5,Claude Code,claude_code_key_zhang.hange_lfhr,message,≤ 200k,input_no_cache,0.05,token,not_available,
2026-02-28,Claude Haiku 4.5,Claude Code,claude_code_key_zhang.hange_lfhr,message,≤ 200k,input_cache_write_5m,0.07,token,not_available,
2026-02-28,Claude Haiku 4.5,Claude Code,claude_code_key_zhang.hange_lfhr,message,≤ 200k,output,0.02,token,not_available,
2026-02-28,Claude Sonnet 4.6,Claude Code,claude_code_key_zhang.hange_lfhr,message,≤ 200k,input_no_cache,0.39,token,global,
2026-02-28,Claude Sonnet 4.6,Claude Code,claude_code_key_zhang.hange_lfhr,message,≤ 200k,input_cache_read,2.08,token,global,
2026-02-28,Claude Sonnet 4.6,Claude Code,claude_code_key_zhang.hange_lfhr,message,≤ 200k,input_cache_write_5m,2.08,token,global,
2026-02-28,Claude Sonnet 4.6,Claude Code,claude_code_key_zhang.hange_lfhr,message,≤ 200k,output,2.61,token,global,
